HR,SBP,RR,SpO2
84.173775,96.55236,15.573706,94.57938
84.67743,111.61057,17.101316,95.83615
61.784286,116.12003,22.503614,98.101425
72.49023,136.28119,17.868795,95.10474
75.037346,129.10558,24.432846,95.03401
79.27522,127.86708,15.387751,95.10915
83.213394,127.70917,18.430021,98.66626
78.21375,110.90531,21.401314,95.84802
73.49827,94.52574,22.162767,94.90856
70.11144,102.74864,19.724197,99.31467
77.928024,99.47851,16.043411,92.332306
83.75784,94.7976,23.457119,93.28395
90.25912,91.75927,15.784468,98.17825
95.755165,131.91618,16.0685,92.99843
74.15689,128.50021,21.365898,97.57857
80.36013,125.385284,22.097473,96.46206
74.67821,120.50732,21.143675,99.95663
79.57317,116.42643,21.674726,94.44196
84.8715,90.716,21.400469,94.249886
72.44429,118.920456,19.618267,93.90524
61.572746,125.3787,17.05547,93.93993
61.936268,105.51598,24.576128,96.131454
69.89515,118.6143,15.155134,99.72309
72.08927,112.1232,19.93579,93.60339
73.68518,100.40469,21.974257,93.6837
75.01875,117.32033,15.353487,97.367256
77.56197,132.57613,19.828856,93.95977
77.61566,106.17488,19.908024,93.90441
87.358826,103.36594,16.92394,98.43197
96.672295,108.45705,19.878082,93.55147
97.59235,128.45023,17.605282,95.53128
99.49142,138.84163,22.65065,94.062065
75.22906,90.143326,17.88683,94.22618
85.09137,115.10569,18.909012,97.37129
94.31172,93.39483,22.285656,95.11885
60.744194,126.93338,18.544811,96.082405
88.47751,120.86913,22.503185,93.90067
84.989334,114.27866,20.416304,95.820335
78.58723,117.55354,22.025524,99.017365
64.41965,108.548584,18.946938,95.23971
96.210365,100.33769,21.109114,92.46408
82.10654,103.494446,15.700471,94.498695
67.08762,102.579666,21.552141,99.69779
67.8815,99.94994,21.179874,94.82629
67.91486,96.03633,23.79825,99.10079
70.204544,94.35622,23.842325,92.804955
78.06518,90.53159,23.7031,95.06293
86.74902,95.286606,16.789253,93.47792
82.17403,97.908394,20.415365,94.02766
99.6548,133.7786,17.25126,93.70785
91.43021,105.552246,17.154213,93.62532
63.87888,109.94925,20.91309,93.747955
73.4341,118.58703,18.66781,93.642494
83.52449,105.71135,19.656242,93.63783
72.47971,94.136116,15.197398,96.790726
61.09374,105.68737,20.852253,99.78921
79.098236,129.93811,15.2126255,97.25305
68.89758,124.319374,21.929522,100.078094
73.99787,119.49541,21.199999,95.09298
68.82742,126.916794,23.780704,97.14575
77.44115,111.93675,20.678305,92.23821
85.42948,97.473366,24.714743,97.24149
70.22256,99.534615,24.325815,99.737015
77.28089,102.22049,17.621958,97.65308
87.64929,103.92151,17.77768,99.30409
83.77811,115.297905,15.39671,94.6177
78.429695,117.15874,22.090149,92.33663
91.20665,112.10559,21.273672,94.102455
64.58857,121.963646,19.74609,99.02648
75.0557,118.87411,24.05962,93.47533
86.35208,117.09195,22.838549,95.29913
97.25247,121.7371,18.579918,96.242165
88.28962,128.21838,22.634212,92.50059
75.964294,135.60457,23.492376,97.6293
96.50345,114.81859,16.769419,96.86336
90.93877,133.3635,20.825193,98.21362
82.497475,103.8985,24.435184,98.64767
86.77206,95.97962,16.14643,95.237564
90.47941,91.74043,19.754496,92.36766
89.25157,112.07717,15.798274,97.36612
93.04144,93.465904,22.264503,97.414566
99.05494,109.12038,24.07051,94.84771
83.01461,115.05913,23.49877,93.01088
66.98533,121.295,21.020159,94.464165
76.185104,127.832954,24.223091,99.39279
92.470894,133.49876,24.776495,96.88017
85.020584,135.82916,24.571003,95.4425
75.81542,110.6387,15.469734,99.34409
69.9867,121.74384,19.23159,92.19545
70.73597,111.773766,15.456775,95.946
71.49314,99.27489,24.15282,96.44813
71.28357,104.39211,17.34054,94.30204
73.10869,118.96413,19.395731,92.26853
72.4638,103.07254,21.659288,93.370384
73.26414,109.99804,19.38084,92.57897
69.078835,113.88087,22.643095,97.20528
67.99586,115.6416,24.668056,92.565674
68.24265,119.5249,17.74614,99.3176
67.54489,118.08693,22.99098,95.05451
68.06871,120.74794,20.583252,98.621445
